City,Lat,Long
Mumbai,18.987807,72.836447
Delhi,28.651952,77.231495
Chennai,13.084622,80.248357
Bengal?ru,12.977063,77.587106
Hyderabad,17.384052,78.456355
Ahmad?b?d,23.025793,72.587265
Pune,18.513271,73.849852
S?rat,21.195944,72.830232
Lucknow,26.839281,80.923133
Patna,25.615379,85.101027
Indore,22.717736,75.85859
Vadodara,22.299405,73.208119
Bhopal,23.254688,77.402892
Ludhi?na,30.912042,75.853789
?gra,27.187935,78.003944
Meerut,28.980018,77.706356
Far?d?b?d,28.411236,77.313162
V?r?nasi,25.31774,83.005811
Madurai,9.917347,78.119622
Jabalpur,23.174495,79.935903
Sr?nagar,34.085652,74.805553
Aurang?b?d,19.880943,75.346739
Ranchi,23.347768,85.338564
Jodhpur,26.26841,73.005943
Chandigarh,30.736292,76.788398
Gwalior,26.229825,78.173369
Mysore,12.292664,76.638543
Raipur,21.233333,81.633333
Kota,25.182544,75.839065
Bareilly,28.347023,79.421934
Al?garh,27.881453,78.07464
Mor?d?b?d,28.838931,78.776838
Nellore,14.449918,79.986967
Tirupp?r,11.104096,77.346402
Ajmer,26.452103,74.638667
Bh?vnagar,21.774455,72.152496
Gunt?r,16.299737,80.457293
Ujjain,23.182387,75.776433
Akola,20.709569,76.998103
Kurnool,15.828865,78.036021
Gaya,24.796858,85.003852
Mathura,27.503501,77.672145
Pati?la,30.336245,76.392199
F?roz?b?d,27.150917,78.397808
Son?pat,28.994778,77.019375
Bharatpur,27.215251,77.492786
Tiruvann?malai,12.230204,79.072954
Jaipur,26.913312,75.787872
Ghandinagar,23.216667,72.683333
